"filename", "language", "JavaScript", "HTML", "JSON with Comments", "JSON", "Markdown", "PostCSS", "comment", "blank", "total"
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/routes/apiRouter.js", "JavaScript", -12, 0, 0, 0, 0, 0, -6, -5, -23
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/routes/router.js", "JavaScript", -13, 0, 0, 0, 0, 0, -7, -5, -25
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/routes/storeRouter.js", "JavaScript", -5, 0, 0, 0, 0, 0, -6, -4, -15
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/server.js", "JavaScript", -45, 0, 0, 0, 0, 0, -21, -19, -85
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/admin/index.ejs", "HTML", 0, -5, 0, 0, 0, 0, 0, -4, -9
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/admin/productcatalog.ejs", "HTML", 0, -2, 0, 0, 0, 0, 0, -1, -3
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/errors/403.ejs", "HTML", 0, -6, 0, 0, 0, 0, 0, 0, -6
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/errors/404.ejs", "HTML", 0, -6, 0, 0, 0, 0, 0, 0, -6
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/errors/500.ejs", "HTML", 0, -6, 0, 0, 0, 0, 0, 0, -6
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/errors/error.ejs", "HTML", 0, -1, 0, 0, 0, 0, 0, 0, -1
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/layouts/default.ejs", "HTML", 0, -16, 0, 0, 0, 0, -3, -3, -22
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/partials/flash.ejs", "HTML", 0, -5, 0, 0, 0, 0, 0, 0, -5
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/partials/header.ejs", "HTML", 0, -6, 0, 0, 0, 0, 0, 0, -6
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/views/store/index.ejs", "HTML", 0, -39, 0, 0, 0, 0, 0, -12, -51
"Total", "-", -1020, -92, -3, -5122, -293, -267, -479, -396, -7672
